H2;CH4;C2H6;C2H4;C2H2;Fail
14,3;16;4,72;0,86;0;NF
13,8;17,1;4,17;0,83;0;NF
12,7;17,2;4,49;0,76;0;NF
12,5;17,1;4,57;0,79;0;NF
13,8;17,6;4,45;0,84;0;NF
12,3;18,4;4,87;0,88;0;NF
13,7;18,2;4,77;0,79;0;NF
13,4;17,7;4,2;0,87;0;NF
13,4;15,4;4,1;0,82;0;NF
14;18,4;4,94;0,8;0;NF
12,7;15,6;4,82;0,84;0;NF
12,8;17,3;4,6;0,86;0;NF
14;18,6;4,95;0,78;0;NF
12,9;18,4;4,4;0,73;0;NF
12,7;15,3;4,66;0,75;0;NF
12,8;16,1;4,3;0,82;0;NF
13,7;15,8;4,48;0,83;0;NF
12,7;16,4;4,63;0,87;0;NF
12,4;17,9;4,46;0,88;0;NF
13;16,1;4,32;0,76;0;NF
14;16,5;4,87;0,77;0;NF
14;16,5;4,52;0,79;0;NF
13,6;18,3;4,83;0,78;0;NF
13,5;16,6;4,64;0,85;0;NF
14,1;15,5;4,36;0,73;0;NF
13;16,3;4,62;0,74;0;NF
13,7;16,1;4,44;0,81;0;NF
14,2;15,5;4,57;0,77;0;NF
11,8;16,9;4,27;0,74;0;NF
12,4;16,4;4,1;0,8;0;NF
11,8;17,8;4,57;0,85;0;NF
12,8;15,4;4,77;0,85;0;NF
13,1;18,4;4,15;0,82;0;NF
13,2;17,5;4,13;0,86;0;NF
13,1;16,3;4,73;0,74;0;NF
12,3;15,8;4,29;0,76;0;NF
12,3;18;4,56;0,81;0;NF
14;17,5;4,92;0,76;0;NF
12,5;16,1;4,83;0,83;0;NF
13;15,4;4,41;0,76;0;NF
12,2;16,3;4,95;0,73;0;NF
13,4;17,3;4,16;0,82;0;NF
12,2;16,3;4,95;0,73;0;NF
13,4;17;4,53;0,72;0;NF
12,7;17,1;4,17;0,78;0;NF
12,9;17,8;4,72;0,84;0;NF
14;16,4;4,36;0,84;0;NF
12,2;16,6;4,75;0,77;0;NF
12,1;17,4;4,89;0,87;0;NF
12,4;16,3;4,8;0,73;0;NF
12,7;17,5;4,71;0,76;0;NF
11,8;17,4;4,58;0,83;0;NF
14,3;16,2;4,36;0,86;0;NF
12,8;15,4;4,77;0,85;0;NF
12,1;15,8;4,65;0,8;0;NF
13,5;15,3;4,4;0,87;0;NF
14,2;17,8;4,57;0,85;0;NF
12,6;18,4;4,3;0,84;0;NF
11,9;17;4,68;0,87;0;NF
14,1;17,7;4,46;0,86;0;NF
12;17,9;4,88;0,83;0;NF
12;15,3;4,66;0,86;0;NF
13,8;16,1;4,51;0,84;0;NF
13,4;18,7;4,78;0,86;0;NF
14,1;16,3;4,46;0,85;0;NF
13,9;15,9;4,82;0,82;0;NF
12,9;15,9;4,8;0,76;0;NF
14,1;16,3;4,46;0,85;0;NF
13,4;17,2;4,6;0,83;0;NF
12,2;17,8;4,85;0,87;0;NF
13,4;17,6;4,13;0,8;0;NF
14,2;15,6;4,77;0,76;0;NF
11,9;15,7;4,64;0,81;0;NF
11,7;17,1;4,77;0,87;0;NF
13,7;18,4;4,61;0,83;0;NF
13,1;16,3;4,82;0,81;0;NF
13,9;17,7;4,66;0,75;0;NF
11,9;16,3;4,94;0,81;0;NF
14,2;18,5;4,68;0,82;0;NF
11,8;16,5;4,27;0,87;0;NF
13,8;18,3;4,57;0,79;0;NF
12,1;18,3;4,53;0,73;0;NF
13,8;16,9;4,51;0,83;0;NF
13,5;16,6;4,64;0,85;0;NF
12,4;15,6;4,6;0,87;0;NF
12,3;18,2;4,26;0,77;0;NF
11,7;16,8;4,8;0,73;0;NF
12,9;17,5;4,18;0,81;0;NF
12,9;15,9;4,15;0,84;0;NF
13;17,6;4,41;0,84;0;NF
12,1;16,2;4,94;0,87;0;NF
12,5;16,6;4,6;0,85;0;NF
14,1;16,4;4,25;0,77;0;NF
12,6;15,8;4,86;0,77;0;NF
12,8;18;4,43;0,79;0;NF
12,3;18,6;4,2;0,83;0;NF
11,8;18,7;4,75;0,73;0;NF
13,6;16,4;4,35;0,74;0;NF
12,6;18,3;4,41;0,87;0;NF
13,6;16,4;4,35;0,74;0;NF
14,2;15,7;4,58;0,86;0;NF
13,4;18;4,74;0,75;0;NF
14,2;17,2;4,93;0,83;0;NF
13,6;16;4,27;0,85;0;NF
12,3;16,1;4,51;0,81;0;NF
13,2;15,9;4,77;0,74;0;NF
12,2;15,3;4,06;0,88;0;NF
13,1;16,1;4,44;0,82;0;NF
11,9;17,5;4,12;0,75;0;NF
13;17,4;4,67;0,77;0;NF
12,1;16,9;4,07;0,77;0;NF
12,6;18,1;4,81;0,74;0;NF
9,25;96,88;446,52;84,25;0;T3
170;300;580;44;8,9;T3
45;168;330;82;3,1;T3
336;419;1074;105;21;T3
6,9;80,6;351;47,4;4,9;T3
143;305;721;78;2;T3
7,8;111;701;129;2,8;T3
6,17;116,06;488,86;92,57;0;T3
18;135;208;59;0;T3
181;316;593;115;2;T3
279;487;708;109;4,4;T3
16,99;185,09;699,2;125,14;0;T3
44,6;63,2;129;20,1;0,66;T3
74,8;482;1409;297;7,5;T3
15,91;191,46;734,87;132,1;0;T3
17,04;192,37;733,63;132,09;0;T3
82;161;406;79;8,9;T3
207;416;1345;347;20;T3
10,48;148,49;576,66;105,45;0;T3
236;410,2;817,3;159;3,5;T3
6709;10500;17700;1400;750;T3
69;212;692;135;3,9;T3
36;30;93;10;7,1;T3
80;243;1348;274;8,4;T3
50;90;260;18;5,9;T3
81;130;230;74;2,9;T3
90;160;330;54;29;T3
170;330;430;77;13;T3
246;432;674;141;7,2;T3
56,4;42,7;1413;167;17,1;T3
42;97;600;157;0;T3
35,1;6;93;16,1;1,1;T3
155;581;293;215;142;T3
477;566;239;734;116;T3
56,4;42,7;167;1413;17,1;T3
74,8;482;297;1409;7,5;T3
7,8;111;129;701;2,8;T3
58;103;51;251;6;T3
80;243;274;1348;8,4;T3
143;305;78;721;2;T3
170;300;44;580;8,9;T3
180;340;52;6303;10;T3
17;21;11;145;4,1;T3
90;160;54;330;29;T3
44,6;63,2;20,1;129;0,66;T3
246;432;141;674;7,2;T3
56;144;36;164;1,8;T3
69;212;135;692;3,9;T3
82;161;79;406;8,9;T3
181;316;115;593;2;T3
81;130;74;230;2,9;T3
170;330;77;430;13;T3
50;90;18;260;5,9;T3
76;202;275;3216;16;T3
87;500;26;520;9;T3
279;487;109;708;4,4;T3
8800;64064;72128;95650;0;T3
6709;10500;1400;17700;750;T3
1100;1600;221;2010;26;T3
290;966;299;1810;57;T3
2500;10500;4790;13500;6;T3
1860;4980;0;10700;1600;T3
860;1670;30;2050;40;T3
150;22;9;60;11;T3
400;940;210;820;24;T3
6;2990;29990;26076;67;T3
100;200;110;670;11;T3
290;1260;231;820;8;T3
1550;2740;816;5450;184;T3
3910;4290;626;6040;1230;T3
1;8;8;100;6;T3
300;700;280;1700;36;T3
107;143;34;222;2;T3
54,54;71,93;9,72;97,37;6,58;T3
116,17;180,83;52,48;278,18;5,36;T3
28,97;10,94;1,64;6,96;4,36;T3
15,9;55,98;22,33;137,25;0,21;T3
50,35;65,58;21,05;99,13;0,96;T3
120,45;210,91;35,7;285,39;15,86;T3
5,48;48,82;96,81;489,57;0,3;T3
605;1586;655;1901;2,3;T3
25,4;54,97;8,72;77,84;10,47;T3
131,7;116,55;19,4;183,97;0,32;T3
676,74;969,55;570,57;2483,26;17,48;T3
101,5;24,45;8,97;128,37;0;T3
73,8;148;38,9;181;1,76;T3
18,19;21,99;6,58;46,92;3,97;T3
22400;22400;2690;13440;1570;T3
65;34;16;112;0;T3
21;75;24;126;0;T3
740;2227;567;4258;42;T3
388;860;230;1833;18,3;T3
103;221,7;47,2;422;0,9;T3
8800;64064;72128;95650;0;T3
6709;10500;1400;17700;750;T3
1100;1600;221;2010;26;T3
290;966;299;1810;57;T3
2500;10500;4790;13500;6;T3
1860;4980;0;10700;1600;T3
860;1670;30;2050;40;T3
150;22;9;60;11;T3
400;940;210;820;24;T3
6;2990;29990;26076;67;T3
100;200;110;670;11;T3
290;1260;231;820;8;T3
1550;2740;816;5450;184;T3
3910;4290;626;6040;1230;T3
12705;23498;6047;34257;5188;T3
1;8;8;100;6;T3
300;700;280;1700;36;T3
107;143;34;222;2;T3
35,1;50,6;1,1;93;16,1;T3
68;99,2;0;202,9;35,9;T3
156;240;0,98;399;54;T3
63;149,6;0;276;51,5;T3
30;25,5;1,8;93;31,5;T3
165,62;240,95;13,53;514,53;61,32;T3
164;244;8,3;497;103;T3
135,65;278,53;2,95;492;58,86;T3
135,88;362,42;3,74;826,65;125,22;T3
236;410,2;3,5;817,3;159;T3
164;244;103;497;8,3;T3
172,6;306,6;75,8;367,4;1,9;T3
109;431;116;446;0,64;T3
172,9;334,1;172,9;812,5;37,7;T3
25,1;411,91;320,9;1832,8;18,4;T3
56;286;96;928;7;T3
336;419;105;1074;21;T3
11,3;24,6;12,7;59,9;2,8;T3
78;161;86;353;10;T3
10,86;35,9;17,58;92,53;0;T3
73;520;140;1200;6;T3
42;97;157;600;0;T3
86;110;18;92;7,4;T3
766;993;116;665;4;T3
220;340;42;480;14;T3
170;320;53;520;3,2;T3
116;258;94;466;5;T3
98;252;95;645;23;T3
18;250,4;172,8;707,9;0;T3
2,02;16,82;3,9;77,25;0;T3
17,31;21,73;5,83;52,3;2,83;T3
64;250;145;846;3,2;T3
12,51;31,68;8,91;45,18;0,27;T3
15,64;35,35;9,74;38,48;0,12;T3
13;33,5;9,2;36,7;0,12;T3
2,17;45,59;7,97;43,9;0,04;T3
2,7;41,03;7,82;48,36;0;T3
14,08;30,14;7,32;39,15;0;T3
14,23;32,05;8,16;42,62;0,07;T3
18;23,7;27,1;164;6,5;T3
1430;6632;1779;5506;7;T3
190;920;410;3180;15;T3
160;223;45;495;11;T3
130;270;67;500;3;T3
73;520;140;1230;7;T3
135;466;70;502;9;T3
610;1200;300;1800;6;T3
147;766;506;2078;3,1;T3
26;88,3;46;196;0;T3
5,49;35,9;28,1;156;0;T3
12;23;9;98;0;T3
14;29;18;174;0;T3
117;357;92;486;4;T3
18,95;46,97;6,94;61,54;0;T3
305;904;52;411;0;T3
16;26,1;7,1;24,4;0,1;T3
32;41,6;10,1;120,5;2,61;T3
34;48,5;12,9;141;3,31;T3
11;102,4;57,9;277,6;0;T3
24;137;62;329,5;0;T3
43;50,9;11,6;127,9;2,9;T3
3,76;26,88;7,22;61,8;0,31;T3
16;237;92;470;0;T3
171,19;628,34;354,87;1619,9;46,26;T3
27,4;63,2;32,7;137,8;0,52;T3
157,2;718,13;727,56;2434,3;153,36;T3
73,38;157,49;35,68;244,65;0;T3
58,54;116,04;34,12;175,74;0,72;T3
159;212,4;82,4;260;0,35;T3
14,42;44,83;3,26;72,63;0;T3
152;247,3;101,2;3132;0,35;T3
100;106,3;19,3;216,6;14,2;T3
807,55;955,76;518,53;2286,7;65,86;T3
32,61;294,63;141,74;910,82;10,39;T3
28,34;71,41;4,78;131;0;T3
1400;7500;5120;19370;124;T3
115;332;104;604;2,85;T3
40;112,9;54;185,3;0,3;T3
41;58,2;25,9;129,8;1;T3
94,3;94,7;36,2;163,2;0;T3
8,5;14,1;31,7;175,9;0;T3
143;305;721;78;2;T3
30;25,5;31,5;93;1,81;T3
740;1856;78,2;3528;706;T3
26,5;298;0;69,3;8,6;T3
98;155;54;300;1,5;T3
8800;64064;72128;95650;0;T3
6709;10500;1400;17700;750;T3
1100;1600;221;2010;26;T3
290;966;299;1810;57;T3
2500;10500;4790;13500;6;T3
860;1670;30;2050;40;T3
150;22;9;60;11;T3
400;940;210;820;24;T3
6;2990;29990;26076;67;T3
100;200;110;670;11;T3
290;1260;231;820;8;T3
1550;2740;816;5450;184;T3
3910;4290;626;6040;1230;T3
12705;23498;6047;34257;5188;T3
11;57,2;44;308;2,4;T3
29,7;101,4;22,1;242,3;1;T3
30,8;160,3;124,3;479,6;0;T3
43,7;137,5;123,2;418;0;T3
49,5;63,8;70,4;310,2;3,4;T3
104;520;167,7;1247,9;2,5;T3
126,6;134,6;60,1;308,2;0,1;T3
36,4;189,3;147;567,1;0;T3
164;244;103;497;8,3;T3
172,6;306,6;75,8;367,4;1,9;T3
274;376;55;1002;17;T3
109;431;116;446;0,64;T3
172,9;334,1;172,9;812,5;37,7;T3
25,1;411,91;320,9;1832,8;18,4;T3
56;286;96;928;7;T3
336;419;105;1074;21;T3
11,3;24,6;12,7;59,9;2,8;T3
10,86;35,9;17,58;92,53;0;T3
73;520;140;1200;6;T3
86;110;18;92;7,4;T3
220;340;42;480;14;T3
170;320;53;520;3,2;T3
116;258;94;466;5;T3
98;252;95;645;23;T3
27,4;63,2;32,7;137,8;0,52;T3
2,02;16,82;3,9;77,25;0;T3
17,31;21,73;5,83;52,3;2,83;T3
64;250;145;846;3,2;T3
12,51;31,68;8,91;45,18;0,27;T3
15,64;35,35;9,74;38,48;0,12;T3
13;33,5;9,2;36,7;0,12;T3
2,17;45,59;7,97;43,9;0,04;T3
2,7;41,03;7,82;48,36;0;T3
14,08;30,14;7,32;39,15;0;T3
14,23;32,05;8,16;42,62;0,07;T3
18;23,7;27,1;164;6,5;T3
190;920;410;3180;15;T3
160;223;45;495;11;T3
130;270;67;500;3;T3
73;520;140;1230;7;T3
135;466;70;502;9;T3
610;1200;300;1800;6;T3
147;766;506;2078;3,1;T3
26;88,3;46;196;0;T3
5,49;35,9;28,1;156;0;T3
12;23;9;98;0;T3
14;29;18;174;0;T3
117;357;92;486;4;T3
18,95;46,97;6,94;61,54;0;T3
305;904;52;411;0;T3
16;26,1;7,1;24,4;0,1;T3
32;41,6;10,1;120,5;2,61;T3
34;48,5;12,9;141;3,31;T3
11;102,4;57,9;277,6;0;T3
24;137;62;329,5;0;T3
43;50,9;11,6;127,9;2,9;T3
3,76;26,88;7,22;61,8;0,31;T3
16;237;92;470;0;T3
171,19;628,34;354,87;1619,9;46,26;T3
27,4;63,2;32,7;137,8;0,52;T3
73,38;157,49;35,68;244,65;0;T3
58,54;116,04;34,12;175,74;0,72;T3
159;212,4;82,4;260;0,35;T3
14,42;44,83;3,26;72,63;0;T3
152;247,3;101,2;313,2;0,35;T3
100;106,3;19,3;216,6;14,2;T3
807,55;955,76;518,53;2286,7;65,86;T3
32,61;294,63;141,74;910,82;10,39;T3
28,34;71,41;4,78;131;0;T3
115;332;104;604;2,85;T3
41;58,2;25,9;129,8;1;T3
94,3;94,7;36,2;163,2;0;T3
8,5;14,1;31,7;175,9;0;T3
143;305;721;78;2;T3
26,5;298;0;69,3;8,6;T3
69;188,5;49;175,4;4,5;T3
65;181,1;47,4;170,1;4,2;T3
64;185,2;47,9;172,7;4,2;T3
69;187,2;48,3;172,7;4,8;T3
72;194,5;53,2;178,1;5;T3
70;190,1;52,1;174,6;5;T3
64;180,1;51,9;172,7;4,8;T3
66;178,4;50,1;167,5;4,7;T3
72;190,8;51,2;171;4,7;T3
62;174,2;50,8;167;4,6;T3
117;193,2;44,3;219,2;1,7;T3
108;202,4;56,4;269,3;2,2;T3
121;241,8;69,5;326,5;2,4;T3
125;241;61,9;294,8;2,5;T3
55,4;246,3;95,4;932,1;7,4;T3
223,4;354,2;41,3;466,7;15,3;T3
115,3;137,5;111;425,3;28,7;T3
77,5;523;142;1233;5,3;T3
132,3;245,6;96,6;356,4;2,3;T3
7,6;112;125,5;702,3;2,6;T3
171,3;298;41,3;556,8;8,7;T3
56;20;35;8;0,6;T3
106;59;58;16;1,3;T3
6,7;10;71;11;3,9;T3
134;137;154;13;11;T3
35,8;30,1;93,6;10,1;7,1;T3
124;115;190;40;2;T3
82;161;406;79;8,9;T3
7,1;76,4;97;17,1;0;T3
21;79;419;13;0;T3
79;256;562;132;0;T3
23;61;153;14;4,4;T3
31;76;137,6;34,5;0;T3
24;42;155;3,6;3,5;T3
7,1;76,4;97;17,1;0;T3
82;161;406;79;8,9;T3
34;60;123;11;6;T3
44;64;221;23,2;0;T3
74;69;133;26;0;T3
23;61;153;14;4,4;T3
79;256;562;132;0;T3
24;42;155;3,6;3,5;T3
31;76;137,6;34,5;0;T3
16;237;470;92;0;T3
180;830;1800;380;24;T3
45;46;99;13;0,6;T3
15;92;600;166;16;T3
360;1050;1300;200;23;T3
28;145,7;436;113;0;T3
78;201,8;3216;275;16;T3
53;137;523;115;6,5;T3
79;27;45;6,8;2,3;T3
112;23,66;43,66;8,36;1,18;T3
1430;6632;5506;1779;7;T3
6,7;10;71;11;3,9;T3
766;993;665;116;4;T3
124;115;190;40;2;T3
89;10;18;3;0;T3
103;146;284;31;4;T3
205;1270;1470;300;12,8;T3
15;125;574;28,7;7;T3
39;1660;2800;890;0;T3
61,8;277;263;75;6,9;T3
43;445,9;303,3;64,9;5,1;T3
56,2;381;980;193;11,9;T3
35,7;1600;3200;550;30,5;T3
570;740;890;170;9,1;T3
83;44;470;75;4,7;T3
64;19;29;3;0,5;T3
304;433,6;2270;160,6;13,8;T3
32;158;630;111;12;T3
71;98;84;16;3,4;T3
64;250;846;146;23;T3
430;2300;1960;470;0;T3
31;44;208;46;2,5;T3
349;4716;6805;60;0,5;T3
56;286;928;96;7,2;T3
116;833;1340;160;50,4;T3
1080;672;920;232;0,5;T3
41,8;97;600;157;0,5;T3
117;274;278;54;2,9;T3
318;114;386;52;33;T3
304;1487;5314;695;51;T3
140,33;193,62;426,52;82,13;26,98;T3
365;1206,4;1658,6;354,4;1,1;T3
14;29;178;18;0;T3
60,43;101,65;308,85;32,34;1,32;T3
97;139;501;28;3,6;T3
1481,6;1507,1;3971;281,9;149,5;T3
16;23;81;13;0,7;T3
156;137;360;47;2;T3
34,5;33,3;91,2;6,1;1,08;T3
105;67,7;175,5;40,6;1,5;T3
76,51;96,42;155,28;23,48;0;T3
115,9;75,8;205,5;26,8;14,7;T3
810;283;1057;138;14,2;T3
791;390;560;169;12;T3
56;99,9;248,8;51,4;2,3;T3
141,7;1317,7;2368,4;331,6;31,3;T3
27,4;63,2;137,8;32,7;0,52;T3
207;416;1345;347;20;T3
236;410;817;159;3,5;T3
213;344;1103;71;20;T3
720;1000;2500;310;230;T3
36,2;12,6;15,5;4,4;0;T3
140;240;410;85;1,1;T3
4;2;24;1;0;T3
32;158;630;111;12;T3
63;196;984;119;13;T3
86;10;92;18;7,4;T3
89;120;95;19;6,7;T3
10;1;2;1;0;T3
128;102;314;39;14;T3
318;114;386;52;33;T3
14,9;13,4;57,2;6,4;2,2;T3
86,3;188,1;397,6;71,4;2,6;T3
4;6,3;18,8;3,9;0,8;T3
47;72;118,8;26,5;1,4;T3
86,4;131,4;182,8;44,7;1,4;T3
91;154,3;254;54;0,9;T3
149;367,1;574,1;101,6;1,6;T3
266,6;746,5;1073;209,4;1,5;T3
365;1206,4;1658,6;354,4;1,1;T3
9880;1502;638;189;6,4;T3
19,13;28,61;40,51;3,49;0;T3
76,51;96,42;155,28;23,48;0;T3
95,42;108,13;193,42;29,2;0;T3
34,1;51,8;134,88;20,7;0;T3
810;283;1057;138;14,2;T3
275;508;1200;133;2,5;T3
268;562;916;129;15,6;T3
68;105;235;25;0,5;T3
48,4;17,5;42,81;6,3;0,39;T3
93;33;60;11;0,32;T3
791;390;560;169;12;T3
56;99,9;248,8;51,4;2,3;T3
50,9;122,9;696,5;105,1;1;T3
29,9;24,1;151,7;34,3;0,6;T3
34,9;60,8;418,8;68;1,4;T3
148;239;1234;113;4;T3
25,1;411,91;1832,8;320,9;18,4;T3
141,7;1317,7;2368,4;331,6;31,3;T3
95;130;220;55;1,2;T3
135;230;420;83;1,4;T3
116,33;183,46;386,88;69,67;1,47;T3
186,76;249,83;467,24;104,46;3,61;T3
73;118,55;73,29;20,91;0,22;T3
225,3;303,5;376,3;100,1;0,78;T3
416,3;514,8;670,5;189,8;0,76;T3
231,4;357,6;467,1;138,9;0,45;T3
67,9;260,5;375;30,1;35,3;T3
147,3;282,5;366,3;31,8;34,3;T3
158,4;320,7;510,9;39,7;47;T3
14,6;98;204,7;42,2;0;T3
32,98;60,11;109,07;19,11;0,65;T3
83,08;160,72;262,04;45;1,35;T3
90,41;180,99;306,66;54,54;1,61;T3
51;131;204;49;0;T3
96,7;165,5;256,3;48,6;0,42;T3
149,6;194;378,8;84,9;0,77;T3
349,6;763,8;1969,7;260,9;0;T3
75;28,8;80,9;7;4,8;T3
64;53,6;205,8;15,8;5,1;T3
453;59,4;32,4;2,8;0;T3
9,4;35,1;50,2;7,6;0,92;T3
27,2;32,8;36,4;8,6;2;T3
19,24;110,81;181,08;3,38;4,33;T3
24,46;199,74;320,16;72,73;0,97;T3
33,79;304,33;465,49;97,2;1,23;T3
37,48;53,33;84,75;20,17;0;T3
58,54;116,04;175,74;34,12;0,72;T3
14,42;44,83;72,63;3,26;0;T3
36,74;68,96;101,95;26,45;0,33;T3
36;60,5;75,3;16,6;0;T3
68,7;118,7;166,7;31;0,4;T3
359;378;664;92;3;T3
529;796;1384;247;7,3;T3
618;925;1588;289;7,4;T3
228,21;312,28;554,26;72,85;10,21;T3
17;67;197;40;0;T3
32;11,6;39,6;5;3,6;T3
21,8;22;67,6;5,6;6,7;T3
23;698,5;6684;1112,2;42,4;T3
27;51,6;112;21,5;1,2;T3
221;440;610,5;94,6;3,7;T3
226,9;373,4;391,7;68,3;1,8;T3
43,9;34,2;65,8;9,3;0,8;T3
28,1;53,6;102,4;13,7;0;T3
21;124;183;45;5;T3
23,7;48,2;89,2;15,2;0;T3
32,5;122,7;217,2;17,3;0;T3
40,2;100,5;253,5;26,3;3,8;T3
87,9;60,6;420,1;38,8;7,9;T3
94;190;390;42;1;T3
99,1;181,7;539,7;75,2;0;T3
248,7;145,2;343,2;50,8;0;T3
56,9;138,6;361,1;71,1;0;T3
37,8;348,9;786,2;118,3;0;T3
24,85;410,53;907,42;149,72;0;T3
52,68;494,3;1007,08;163;1,59;T3
69,27;192;291;96,94;0,3;T3
61;22;104;3,8;10,4;T3
26,4;49,8;78,6;13,9;1;T3
33;60;124;22;2,6;T3
83,4;37,2;112,8;11,7;0;T3
2213;3920;6894;782;68,7;T3
30;62;460;60;3,4;T3
352;625;1951;112;132;T3
50;90;260;18;5,9;T3
48;230;810;160;7;T3
81;130;230;74;2,9;T3
130;440;730;180;0;T3
170;330;430;77;13;T3
90;160;330;54;29;T3
170;320;520;53;3,2;T3
171;319;1297;178;8,1;T3
77;406;819;59;0;T3
679;2779;7026;607;26;T3
438;2225;4649;725;24;T3
11;88;250;83;8,5;T3
220;340;480;42;14;T3
2406;778;1464;182;7,4;T3
380;190;280;30;22;T3
60,1;114,9;342,1;37,15;3,75;T3
19;49;100;9,5;0;T3
52;79;210;19;0;T3
11;29;90;19;0;T3
160;440;870;150;0,6;T3
350;1000;1800;330;3,2;T3
39;620;1000;240;0,7;T3
93;830;1300;340;0,4;T3
73;110;190;41;0;T3
140;340;580;120;1,1;T3
460;520;1400;350;3,8;T3
9,3;11,9;46,7;4,6;0;T3
18,3;61,6;90,2;13,2;0;T3
122;155,7;366,8;27,1;23,2;T3
30,9;38,15;54,66;11,39;0,39;T3
13,4;11,29;122,14;6,96;0;T3
64,64;54,21;99,79;14,38;0;T3
53,87;91,14;181,64;28,19;0;T3
43,6;104,2;177,6;36,9;0;T3
173,5;749,3;2675;345,5;0;T3
166,1;1050,9;2940,6;422,8;0;T3
0,21;0,7512;1,2735;0,1578;0;T3
571;2394,6;3186,9;327,1;53,89;T3
135,6;278,5;492,1;58,8;2,95;T3
0,02;0,0109;0,0559;0,0073;0;T3
17,8;7,4;52,3;4,8;0;T3
20,3;7,9;49,6;1,6;0;T3
16,2;220;486;50;10,6;T3
18,2;103,9;358,6;54,7;4,4;T3
122,5;260;688;114,3;17,2;T3
87,79;184,98;332,49;81,88;0;T3
128,19;383,88;627,65;191,32;0;T3
5,15;14,47;26,03;6,82;0;T3
29,27;88,88;140;46,51;0;T3
14;224;804;199;0;T3
62,81;215,85;947,2;160,9;12,3;T3
228,21;312,28;554,26;72,85;10,21;T3
15,75;124,6;312,59;37,84;16,32;T3
36,29;222,62;503,97;48,97;20,24;T3
9,44;70,74;187,42;33,56;2,53;T3
11,97;212,83;805,18;144,26;19,19;T3
8,72;12,47;2,12;7,85;0;T3
14,77;14,06;2,05;7,96;0;T3
16,69;30,66;3,1;14,57;0;T3
12,81;12,64;1,9;8,13;0;T3
19,8;21,37;1,8;13,14;0;T3
15,67;17,57;0,6;10,04;0,13;T3
18,27;21,36;1,77;12,09;0;T3
16,41;18,88;1,53;10,86;0;T3
32,4;5,5;12,6;1,4;13,2;D2
50,11;15,97;45,37;4,66;12,3;D2
345;112,3;51,5;27,5;58,58;D2
4683;148;1364;44,7;12078;D2
29;7,52;14,8;5,5;5,4;D2
44,3;17,3;23,3;3,6;10,4;D2
121;14;29;3;74;D2
60;40;110;9,9;70;D2
217,5;40;51,8;4,9;67,5;D2
21;7,6;96,3;4,7;26,73;D2
334;39,9;5,4;47,8;247,6;D2
65;26,1;41,6;10,1;57,8;D2
49;41,6;124;25,1;15,7;D2
207,06;21,08;67,34;4,28;141,93;D2
64;22;51,7;20,7;95,1;D2
2054;370;535;26;805;D2
730;750;1300;190;7;D2
158;71;146;1,3;685;D2
100;94;304;22;118;D2
179;413;544;27;473;D2
6,3;7,87;3,03;6,97;11,1;D2
4430;941;2475;76;55585;D2
437;27,2;34,9;22,5;30,2;D2
300,44;42,14;43,18;3,25;64,71;D2
117;5,8;15,9;7;12,8;D2
4683;148;44,7;1364;12078;D2
421;135;27,7;351;374;D2
71,6;20,2;2,7;34,6;44,2;D2
72;116;36;70;19;D2
49;41,6;25,1;124;15,7;D2
21;7,6;4,7;96,3;26,73;D2
65;26,1;10,1;41,6;57,8;D2
64;22;20,7;51,7;95,1;D2
150;80;235;105;35;D2
158;71;1,3;146;685;D2
294;27,4;5,6;52,6;338;D2
437;27,2;22,5;34,9;30,2;D2
2054;370;26;535;805;D2
136;140;59;582;140;D2
4430;941;76;2475;55585;D2
179;413;27;544;473;D2
60;40;9,9;110;70;D2
250;63;2,8;66;120;D2
190;450;240;850;0,6;D2
29;7,52;5,5;14,8;5,4;D2
6,3;7,87;6,97;3,03;11,1;D2
413;6,8;40,4;4,6;8,15;D2
23,4;14,3;7,12;9,71;3,44;D2
410;120;18;71;250;D2
545;130;16;153;239;D2
7150;1440;97;1210;1760;D2
620;325;38;181;244;D2
120;31;0;66;94;D2
755;229;32;404;460;D2
5100;1430;0;1140;1010;D2
1570;1110;175;1780;1830;D2
3090;5020;323;3800;2540;D2
1820;405;35;365;634;D2
535;160;16;305;680;D2
13;3;1;3;6;D2
137;67;7;53;104;D2
1084;188;8;166;769;D2
34;21;4;49;56;D2
7940;2000;355;3120;5390;D2
150;130;9;55;30;D2
8200;3790;250;4620;5830;D2
260;215;35;334;277;D2
75;15;7;14;26;D2
530;345;85;266;250;D2
90;28;8;31;32;D2
220;77;22;170;240;D2
2800;2800;234;3500;3600;D2
99;170;20;200;190;D2
310;230;54;610;760;D2
800;160;23;260;600;D2
1500;395;28;395;323;D2
20000;13000;1850;29000;57000;D2
305;85;25;197;130;D2
1900;530;35;383;434;D2
110;62;90;140;250;D2
3700;1690;128;2810;3270;D2
2770;660;54;712;763;D2
1170;255;18;312;325;D2
4419;3564;668;2861;2025;D2
810;280;111;570;490;D2
10000;6730;345;7330;10400;D2
1570;735;87;1330;1740;D2
5760;540;40,5;1000;2760;D2
40;102,6;32,3;183,3;0,2;D2
7238,97;695,16;231,6;2394,3;2308,92;D2
16000;4000;500;8500;16000;D2
1769,7;554,2;145,2;1066,7;885,7;D2
390;62,6;12,8;65,3;133,6;D2
56;10;17,6;13,5;1,3;D2
57;15;25,3;23;3,1;D2
65;26,1;57,8;41,6;10,1;D2
75,5;30,2;18,2;30,3;2,33;D2
